Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDR36,6.715,2,0.122274118,6,40.3454,OUT017,2007,2.0,2,1,838.908
NCM30,19.1,1,0.067239404,5,39.6796,OUT013,1987,3.0,3,1,660.4736
FDH24,20.7,1,0.021464454,6,156.6288,OUT049,1999,1.0,1,1,3928.22
DRO47,10.195,1,0.112681821,11,113.986,OUT018,2009,1.0,3,3,452.744
FDQ49,20.2,2,0.039469737,9,155.163,OUT017,2007,2.0,2,1,782.315
DRJ37,10.8,1,0.061101383,2,151.9024,OUT046,1997,2.0,1,1,2580.6408
NCJ42,19.75,1,0.014359584,5,100.8332,OUT018,2009,1.0,3,3,1537.998
FDD05,19.35,1,0.016637301,8,120.9098,OUT049,1999,1.0,1,1,1687.1372
FDC39,7.405,1,0.159843921,1,206.6296,OUT018,2009,1.0,3,3,3115.944
NCY06,15.25,1,0.061308889,5,128.8968,OUT045,2002,2.0,2,1,2348.9424
NCS06,12.6,1,0.055566935,5,263.591,OUT019,1985,2.0,1,2,262.991
FDE16,8.895,1,0.026397141,8,207.8954,OUT045,2002,2.0,2,1,3542.7218
NCQ50,18.75,1,0.034307348,5,215.2218,OUT046,1997,2.0,1,1,4701.8796
FDX50,20.1,1,0.074627201,1,110.3228,OUT046,1997,2.0,1,1,1768.3648
NCL41,12.35,1,0.041973712,10,35.7216,OUT017,2007,2.0,2,1,519.324
FDM58,16.85,2,0.080015028,7,111.8544,OUT018,2009,1.0,3,3,1677.816
FDH35,18.25,1,0.10084386,16,166.3526,OUT010,1998,2.0,3,2,164.4526
FDS50,17.0,1,0.055519561,1,219.8114,OUT049,1999,1.0,1,1,1108.557
FDT09,12.6,2,0.012203915,7,133.2284,OUT027,1985,1.0,3,4,4350.3372
FDR60,14.3,1,0.130946374,6,76.7328,OUT018,2009,1.0,3,3,1312.9576
FDG22,17.6,2,0.041381156,7,35.019,OUT046,1997,2.0,1,1,659.142
FDL52,12.6,2,0.04586701,8,37.9506,OUT027,1985,1.0,3,4,910.8144
DRJ39,20.25,1,0.036474041,1,218.3482,OUT018,2009,1.0,3,3,2409.5302
FDW45,18.0,1,0.039231652,7,145.1418,OUT017,2007,2.0,2,1,2648.5524
NCQ38,16.35,1,0.013393537,14,106.028,OUT045,2002,2.0,2,1,1065.28
FDB26,14.0,2,0.031444357,12,53.764,OUT017,2007,2.0,2,1,798.96
DRG48,5.78,1,0.014555066,2,145.2102,OUT046,1997,2.0,1,1,3062.0142
FDH10,21.0,1,0.082526478,7,191.8478,OUT010,1998,2.0,3,2,774.9912
FDP28,13.65,2,0.080765853,8,262.8936,OUT049,1999,1.0,1,1,4958.8784
FDJ44,12.3,2,0.17797002,4,173.1396,OUT010,1998,2.0,3,2,697.7584
FDI07,12.35,2,0.03382933,3,196.9426,OUT045,2002,2.0,2,1,2768.3964
DRJ24,11.8,1,0.11397026,2,185.1924,OUT017,2007,2.0,2,1,2591.2936
DRL47,19.7,1,0.038729457,11,127.3362,OUT035,2004,2.0,2,1,755.0172
FDP38,10.1,1,0.032075379,12,50.9008,OUT013,1987,3.0,3,1,354.2056
FDK02,12.6,1,0.196490902,12,120.544,OUT019,1985,2.0,1,2,479.376
FDO23,17.85,1,0.146305498,13,94.1436,OUT013,1987,3.0,3,1,1607.2412
NCE54,20.7,1,0.026877471,5,74.6354,OUT013,1987,3.0,3,1,1053.2956
FDS52,8.89,1,0.005474515,8,99.7016,OUT046,1997,2.0,1,1,1922.8304
FDW01,14.5,1,0.064048405,12,153.4682,OUT035,2004,2.0,2,1,1677.1502
NCF07,9.0,1,0.032203667,5,100.8016,OUT017,2007,2.0,2,1,1113.2176
DRE15,13.35,1,0.017857847,1,77.5012,OUT018,2009,1.0,3,3,1518.024
FDR58,6.675,1,0.041921462,7,92.3462,OUT046,1997,2.0,1,1,2406.2012
FDL24,10.3,2,0.024875871,6,173.0422,OUT013,1987,3.0,3,1,2069.3064
FDQ25,12.6,2,0.028139761,12,173.7422,OUT027,1985,1.0,3,4,3621.2862
FDX56,17.1,2,0.073997843,4,207.0638,OUT013,1987,3.0,3,1,4969.5312
FDD20,14.15,1,0.020798905,4,123.6046,OUT018,2009,1.0,3,3,1245.046
DRF60,10.8,1,0.052363244,2,236.5564,OUT017,2007,2.0,2,1,5243.8408
FDW13,8.5,1,0.098283459,12,51.3324,OUT018,2009,1.0,3,3,934.7832
FDF09,6.215,1,0.012138795,4,39.2848,OUT013,1987,3.0,3,1,521.9872
FDY45,17.5,1,0.0,7,253.0356,OUT035,2004,2.0,2,1,4578.0408
FDR26,20.7,1,0.042923652,1,178.3028,OUT045,2002,2.0,2,1,1062.6168
FDZ01,8.975,2,0.009058845,12,103.399,OUT046,1997,2.0,1,1,2579.975
FDH53,20.5,2,0.032136417,8,83.9592,OUT010,1998,2.0,3,2,165.1184
FDG52,13.65,1,0.065898197,8,46.1402,OUT018,2009,1.0,3,3,459.402
FDW50,13.1,1,0.075731322,1,167.5158,OUT045,2002,2.0,2,1,1504.0422
FDX49,4.615,2,0.101812521,12,232.23,OUT035,2004,2.0,2,1,5126.66
FDJ44,12.3,2,0.106327251,4,172.8396,OUT046,1997,2.0,1,1,2616.594
NCI31,12.6,1,0.080933328,14,37.519,OUT027,1985,1.0,3,4,842.237
FDZ52,19.2,1,0.100055601,8,112.4886,OUT035,2004,2.0,2,1,1223.0746
FDE17,20.1,2,0.054540159,8,152.1366,OUT049,1999,1.0,1,1,755.683
FDG34,11.5,2,0.037723476,7,109.5254,OUT018,2009,1.0,3,3,1953.4572
FDE26,9.3,1,0.14897741,12,143.0786,OUT010,1998,2.0,3,2,288.9572
FDD56,15.2,2,0.104201019,4,176.5054,OUT018,2009,1.0,3,3,2976.7918
FDR52,12.65,2,0.076198809,8,191.3846,OUT045,2002,2.0,2,1,2675.1844
FDQ13,11.1,1,0.010639596,12,84.1908,OUT035,2004,2.0,2,1,755.0172
NCJ42,12.6,1,0.025039776,5,102.7332,OUT019,1985,2.0,1,2,410.1328
FDH10,12.6,1,0.086326707,7,192.6478,OUT019,1985,2.0,1,2,387.4956
NCG42,19.2,1,0.041220035,5,131.231,OUT035,2004,2.0,2,1,3635.268
FDT31,19.75,1,0.01247354,4,187.5872,OUT045,2002,2.0,2,1,1323.6104
DRD25,6.135,1,0.079132212,2,112.686,OUT045,2002,2.0,2,1,2942.836
FDR35,12.5,1,0.020693809,13,199.1742,OUT035,2004,2.0,2,1,4379.6324
FDL33,7.235,1,0.10016525,7,193.9452,OUT045,2002,2.0,2,1,2936.178
FDT45,15.85,1,0.057302606,7,53.3956,OUT035,2004,2.0,2,1,600.5516
FDT16,9.895,2,0.048761046,8,260.5278,OUT045,2002,2.0,2,1,8851.1452
DRE49,20.75,1,0.0,2,153.0024,OUT035,2004,2.0,2,1,2428.8384
DRF60,10.8,1,0.052149675,2,239.9564,OUT049,1999,1.0,1,1,3813.7024
NCB54,8.76,1,0.050130529,10,128.3336,OUT049,1999,1.0,1,1,2556.672
FDH20,16.1,2,0.024987903,4,97.341,OUT049,1999,1.0,1,1,1255.033
FDA31,7.1,1,0.109990885,4,172.908,OUT035,2004,2.0,2,1,2769.728
FDE33,19.35,2,0.049736267,4,76.8644,OUT045,2002,2.0,2,1,1571.288
FDM12,16.7,2,0.117026714,6,189.2214,OUT010,1998,2.0,3,2,188.4214
FDW44,9.5,2,0.035121963,4,168.6448,OUT013,1987,3.0,3,1,1022.6688
DRE48,8.43,1,0.017311312,2,197.8768,OUT013,1987,3.0,3,1,3744.4592
NCX18,14.15,1,0.008811818,5,196.511,OUT045,2002,2.0,2,1,2749.754
FDA38,5.44,1,0.025583714,1,239.1538,OUT018,2009,1.0,3,3,480.7076
FDQ19,7.35,2,0.014353174,4,242.6512,OUT013,1987,3.0,3,1,969.4048
FDY47,12.6,2,0.054220618,13,129.131,OUT027,1985,1.0,3,4,4933.578
FDE17,20.1,2,0.054410179,8,151.3366,OUT013,1987,3.0,3,1,2720.4588
FDY25,12.0,1,0.033974436,12,181.8976,OUT046,1997,2.0,1,1,4527.44
FDT03,21.25,1,0.009996872,3,185.5608,OUT035,2004,2.0,2,1,3123.9336
FDB49,8.3,2,0.030212499,6,98.0384,OUT045,2002,2.0,2,1,2857.6136
FDL43,10.1,1,0.027217468,3,76.067,OUT017,2007,2.0,2,1,1454.773
FDE47,14.15,1,0.038123176,16,123.5046,OUT017,2007,2.0,2,1,1992.0736
FDS49,9.0,1,0.079506434,12,78.3644,OUT045,2002,2.0,2,1,1728.4168
FDU23,12.15,1,0.021811987,13,163.6184,OUT018,2009,1.0,3,3,2311.6576
FDU38,12.6,1,0.082150145,1,192.9504,OUT027,1985,1.0,3,4,7478.2656
FDV09,12.6,1,0.036012919,7,148.0734,OUT019,1985,2.0,1,2,593.8936
FDR20,20.0,2,0.028167478,4,45.5744,OUT049,1999,1.0,1,1,452.744
FDY11,6.71,2,0.029560451,6,65.8142,OUT046,1997,2.0,1,1,856.8846
FDG40,12.6,1,0.039631495,8,31.9558,OUT027,1985,1.0,3,4,984.7182
FDX20,7.365,1,0.04280099,4,228.372,OUT017,2007,2.0,2,1,2037.348
FDZ27,7.935,1,0.017141985,1,50.035,OUT013,1987,3.0,3,1,149.805
FDH09,12.6,1,0.056394771,15,51.3982,OUT017,2007,2.0,2,1,473.3838
FDG29,17.6,1,0.056379439,8,42.7454,OUT049,1999,1.0,1,1,293.6178
NCA30,19.0,1,0.129534812,5,190.1872,OUT049,1999,1.0,1,1,5105.3544
NCL53,7.5,1,0.036439878,10,175.3028,OUT017,2007,2.0,2,1,3010.7476
DRE15,13.35,1,0.0,1,77.6012,OUT046,1997,2.0,1,1,986.7156
NCS38,8.6,1,0.090191431,5,112.9176,OUT046,1997,2.0,1,1,458.0704
FDY21,12.6,1,0.30374337,7,196.011,OUT019,1985,2.0,1,2,589.233
FDB58,10.5,2,0.022590318,7,140.6154,OUT010,1998,2.0,3,2,283.6308
FDH41,9.0,1,0.082011521,8,213.3534,OUT046,1997,2.0,1,1,1935.4806
DRF23,4.61,1,0.122843005,11,172.4396,OUT049,1999,1.0,1,1,1569.9564
FDE05,10.895,2,0.05432142,8,146.2102,OUT010,1998,2.0,3,2,437.4306
FDY10,17.6,1,0.049144165,7,112.7176,OUT049,1999,1.0,1,1,1717.764
FDS43,11.65,1,0.040577878,4,188.224,OUT049,1999,1.0,1,1,1304.968
NCM30,19.1,1,0.067400032,5,41.9796,OUT049,1999,1.0,1,1,784.3124
FDY49,17.2,2,0.012036432,12,165.7184,OUT045,2002,2.0,2,1,1816.3024
FDN02,16.5,1,0.073977473,12,206.8638,OUT045,2002,2.0,2,1,2070.638
FDP37,15.6,1,0.143396175,9,128.0994,OUT045,2002,2.0,2,1,2184.4898
NCF07,9.0,1,0.03201648,5,99.6016,OUT035,2004,2.0,2,1,1922.8304
FDJ09,15.0,1,0.058346234,7,44.0744,OUT013,1987,3.0,3,1,633.8416
FDO23,12.6,1,0.14571827,13,94.3436,OUT027,1985,1.0,3,4,2269.0464
FDH09,12.6,1,0.055806016,15,52.4982,OUT027,1985,1.0,3,4,1209.7586
FDX34,6.195,1,0.072097449,7,119.3098,OUT049,1999,1.0,1,1,1205.098
FDV60,20.2,2,0.117543713,6,197.311,OUT049,1999,1.0,1,1,3338.987
FDE32,20.7,1,0.048718334,4,38.7506,OUT013,1987,3.0,3,1,227.7036
NCI30,20.25,1,0.0591756,5,245.046,OUT018,2009,1.0,3,3,4680.574
FDS37,7.655,1,0.031918284,12,117.7492,OUT013,1987,3.0,3,1,695.0952
FDC57,12.6,2,0.095587976,4,193.982,OUT019,1985,2.0,1,2,579.246
DRC01,5.92,2,0.019308607,2,49.0692,OUT017,2007,2.0,2,1,1478.076
DRD27,18.75,1,0.023974769,1,99.0042,OUT017,2007,2.0,2,1,694.4294
FDI12,9.395,2,0.100602552,6,88.3856,OUT045,2002,2.0,2,1,703.0848
FDQ33,13.35,1,0.091189915,7,149.3708,OUT035,2004,2.0,2,1,4514.124
FDQ27,12.6,2,0.077480627,3,101.399,OUT019,1985,2.0,1,2,206.398
NCB07,19.2,1,0.129731747,5,196.211,OUT010,1998,2.0,3,2,589.233
FDC08,19.0,2,0.103363904,4,226.172,OUT013,1987,3.0,3,1,3169.208
FDD20,14.15,1,0.020714523,4,124.2046,OUT046,1997,2.0,1,1,2490.092
FDS24,20.85,2,0.062212713,6,88.1514,OUT035,2004,2.0,2,1,1151.1682
FDH34,8.63,1,0.031271134,7,186.0582,OUT017,2007,2.0,2,1,3900.9222
NCX30,16.7,1,0.026729068,5,248.4776,OUT018,2009,1.0,3,3,6439.6176
FDM01,7.895,2,0.094567181,9,104.5332,OUT046,1997,2.0,1,1,1845.5976
FDB20,7.72,1,0.05193741,4,77.9986,OUT013,1987,3.0,3,1,934.7832
NCK29,5.615,1,0.126480422,10,121.573,OUT017,2007,2.0,2,1,3202.498
FDS11,7.05,2,0.055644887,13,224.9088,OUT049,1999,1.0,1,1,2684.5056
NCV41,14.35,1,0.028519419,10,109.2228,OUT010,1998,2.0,3,2,221.0456
DRL60,8.52,1,0.027101431,2,151.7682,OUT049,1999,1.0,1,1,2439.4912
FDV10,7.645,2,0.067083367,7,44.0112,OUT017,2007,2.0,2,1,596.5568
FDV09,12.1,1,0.020652362,7,149.5734,OUT018,2009,1.0,3,3,2227.101
FDQ39,14.8,1,0.081042136,3,192.4846,OUT046,1997,2.0,1,1,5159.2842
DRE49,20.75,1,0.021336565,2,153.6024,OUT018,2009,1.0,3,3,1366.2216
FDR45,10.8,1,0.029001987,7,238.6222,OUT045,2002,2.0,2,1,8604.7992
DRJ23,18.35,1,0.069745165,11,190.2872,OUT010,1998,2.0,3,2,378.1744
FDQ26,13.5,2,0.068148886,1,58.6562,OUT018,2009,1.0,3,3,711.0744
NCA06,20.5,1,0.144094079,5,34.819,OUT017,2007,2.0,2,1,1061.951
FDT24,12.35,2,0.186616421,6,78.6328,OUT018,2009,1.0,3,3,1004.0264
DRG27,8.895,1,0.105323859,1,39.1138,OUT045,2002,2.0,2,1,609.207
FDR02,16.7,1,0.022110425,1,110.8886,OUT045,2002,2.0,2,1,3558.0352
DRG37,16.2,1,0.019374768,2,155.8972,OUT035,2004,2.0,2,1,2025.3636
FDJ07,7.26,1,0.014482278,3,118.115,OUT018,2009,1.0,3,3,1864.24
FDP32,6.65,1,0.087805788,4,126.7678,OUT049,1999,1.0,1,1,1907.517
FDV59,13.35,1,0.048027043,13,218.9166,OUT046,1997,2.0,1,1,5660.6316
FDP60,17.35,1,0.055908268,6,99.8016,OUT035,2004,2.0,2,1,607.2096
FDE32,12.6,1,0.048522793,4,39.6506,OUT027,1985,1.0,3,4,1024.6662
FDK26,5.46,2,0.032359413,12,187.424,OUT017,2007,2.0,2,1,3169.208
FDW28,18.25,1,0.088807455,8,197.3452,OUT035,2004,2.0,2,1,2740.4328
FDP56,8.185,1,0.046556408,4,47.7692,OUT049,1999,1.0,1,1,640.4996
FDT25,7.5,1,0.050750977,12,122.2072,OUT046,1997,2.0,1,1,1960.1152
FDQ12,12.65,1,0.035404052,6,230.601,OUT035,2004,2.0,2,1,2067.309
FDR60,14.3,1,0.130390458,6,77.2328,OUT035,2004,2.0,2,1,231.6984
FDZ10,17.85,1,0.074422769,7,128.002,OUT010,1998,2.0,3,2,253.004
FDM13,6.425,1,0.105742544,9,130.5626,OUT010,1998,2.0,3,2,131.1626
FDF26,6.825,2,0.046729336,12,153.4998,OUT045,2002,2.0,2,1,2153.1972
FDN02,12.6,1,0.073470234,12,205.3638,OUT027,1985,1.0,3,4,5383.6588
NCI30,20.25,1,0.058886477,5,245.546,OUT013,1987,3.0,3,1,1724.422
NCJ31,19.2,1,0.18293775,14,243.0196,OUT049,1999,1.0,1,1,3615.294
NCQ54,17.7,1,0.020993364,5,166.8474,OUT010,1998,2.0,3,2,168.4474
FDB02,9.695,2,0.029223424,12,175.437,OUT045,2002,2.0,2,1,2999.429
FDC02,12.6,1,0.068489201,12,259.3278,OUT027,1985,1.0,3,4,4165.2448
FDA11,7.75,1,0.043326511,6,95.6436,OUT045,2002,2.0,2,1,1134.5232
DRI23,12.6,1,0.136532569,11,159.6578,OUT027,1985,1.0,3,4,2888.2404
FDE04,19.75,2,0.018051091,8,179.866,OUT049,1999,1.0,1,1,2696.49
FDW38,5.325,2,0.23212188,1,55.5298,OUT010,1998,2.0,3,2,53.9298
FDG46,12.6,2,0.057620562,7,115.4518,OUT019,1985,2.0,1,2,113.8518
NCJ05,12.6,1,0.045865089,10,152.3682,OUT027,1985,1.0,3,4,2287.023
FDU01,12.6,2,0.021002171,12,185.1924,OUT019,1985,2.0,1,2,555.2772
FDY11,6.71,2,0.029727657,6,66.6142,OUT017,2007,2.0,2,1,1120.5414
FDX60,14.35,1,0.080527065,6,79.296,OUT013,1987,3.0,3,1,719.064
NCN29,15.2,1,0.0,10,47.8034,OUT049,1999,1.0,1,1,437.4306
FDT07,5.82,2,0.0,4,256.633,OUT049,1999,1.0,1,1,2050.664
FDI21,5.59,2,0.056833394,7,61.9168,OUT018,2009,1.0,3,3,1214.4192
FDI41,18.5,2,0.062256921,8,148.0418,OUT046,1997,2.0,1,1,2059.9852
FDE10,12.6,2,0.089512542,7,133.1626,OUT027,1985,1.0,3,4,3672.5528
FDQ28,14.0,2,0.060427062,8,153.5656,OUT046,1997,2.0,1,1,3089.312
FDY32,7.605,1,0.216323008,4,165.021,OUT010,1998,2.0,3,2,815.605
NCK05,12.6,1,0.135612397,10,61.1536,OUT019,1985,2.0,1,2,61.2536
FDH12,9.6,1,0.085125951,6,107.128,OUT045,2002,2.0,2,1,1278.336
FDJ27,17.7,2,0.122565413,3,103.8674,OUT017,2007,2.0,2,1,1528.011
DRL35,15.7,1,0.0,11,43.377,OUT010,1998,2.0,3,2,129.831
NCY29,13.65,1,0.077670981,10,55.093,OUT017,2007,2.0,2,1,1301.639
FDC21,14.6,2,0.043201813,4,110.1254,OUT017,2007,2.0,2,1,1844.9318
FDM33,15.6,1,0.088215871,7,220.1798,OUT017,2007,2.0,2,1,5068.7354
DRJ39,20.25,1,0.036295834,1,217.5482,OUT013,1987,3.0,3,1,1095.241
FDB22,8.02,1,0.186528819,7,151.9998,OUT010,1998,2.0,3,2,307.5996
FDC32,18.35,1,0.099026525,4,93.8462,OUT013,1987,3.0,3,1,1295.6468
FDD02,16.6,1,0.0,12,118.8124,OUT046,1997,2.0,1,1,2607.2728
FDL28,10.0,2,0.063162608,8,228.6668,OUT035,2004,2.0,2,1,3455.502
FDL39,16.1,2,0.063429818,1,179.4318,OUT049,1999,1.0,1,1,2345.6134
FDV37,13.0,2,0.139785104,12,196.2426,OUT010,1998,2.0,3,2,197.7426
FDA28,16.1,2,0.04807227,8,126.5362,OUT017,2007,2.0,2,1,1761.7068
FDL04,19.0,1,0.112097433,8,105.5622,OUT049,1999,1.0,1,1,1905.5196
FDR10,17.6,1,0.010037996,7,163.5552,OUT035,2004,2.0,2,1,3086.6488
FDA39,6.32,1,0.012789884,3,39.1822,OUT017,2007,2.0,2,1,1060.6194
FDR15,9.3,2,0.033431669,3,153.1314,OUT035,2004,2.0,2,1,4653.942
FDQ40,11.1,2,0.03623131,8,175.0712,OUT017,2007,2.0,2,1,3339.6528
DRG23,12.6,1,0.086360962,11,151.2682,OUT027,1985,1.0,3,4,2439.4912
FDU36,6.15,1,0.046232445,6,99.4384,OUT013,1987,3.0,3,1,1379.5376
FDF47,20.85,1,0.097618234,16,223.9746,OUT046,1997,2.0,1,1,897.4984
FDH14,17.1,2,0.046808553,12,141.4838,OUT046,1997,2.0,1,1,1404.838
FDO45,13.15,2,0.03810738,7,86.3856,OUT018,2009,1.0,3,3,615.1992
FDK60,16.5,2,0.093846532,6,95.7068,OUT035,2004,2.0,2,1,1069.2748
FDS43,11.65,1,0.040744057,4,185.924,OUT017,2007,2.0,2,1,4101.328
FDN44,13.15,1,0.022831052,4,160.292,OUT049,1999,1.0,1,1,4793.76
FDS34,19.35,2,0.076878416,7,113.9518,OUT049,1999,1.0,1,1,1138.518
FDU20,19.35,2,0.021501067,4,122.2098,OUT045,2002,2.0,2,1,2771.7254
FDP44,16.5,2,0.07964724,4,101.4332,OUT013,1987,3.0,3,1,1948.1308
FDC02,21.35,1,0.068809463,12,258.5278,OUT035,2004,2.0,2,1,5206.556
FDT56,16.0,2,0.115570552,4,57.5246,OUT035,2004,2.0,2,1,173.7738
NCA06,20.5,1,0.143164371,5,34.919,OUT013,1987,3.0,3,1,73.238
FDE04,19.75,2,0.018008071,8,180.466,OUT013,1987,3.0,3,1,3415.554
NCX06,17.6,1,0.015775777,5,179.1976,OUT017,2007,2.0,2,1,3803.0496
FDX49,4.615,2,0.102407778,12,234.33,OUT017,2007,2.0,2,1,3961.51
DRM59,5.88,1,0.003606726,11,154.1998,OUT018,2009,1.0,3,3,1384.1982
FDJ34,11.8,2,0.093801337,7,126.0704,OUT049,1999,1.0,1,1,1251.704
FDP60,17.35,1,0.0,6,101.9016,OUT013,1987,3.0,3,1,1821.6288
FDI07,12.35,2,0.033760862,3,196.9426,OUT046,1997,2.0,1,1,5141.3076
FDV07,12.6,1,0.031131455,4,111.0228,OUT027,1985,1.0,3,4,3205.1612
FDH41,9.0,1,0.082177842,8,214.1534,OUT045,2002,2.0,2,1,1720.4272
NCB31,6.235,1,0.118858866,5,263.291,OUT049,1999,1.0,1,1,3418.883
FDW34,9.6,1,0.0,7,244.817,OUT035,2004,2.0,2,1,4374.306
FDX45,16.75,1,0.105448901,7,156.163,OUT017,2007,2.0,2,1,782.315
FDH14,17.1,2,0.046881328,12,141.3838,OUT049,1999,1.0,1,1,1685.8056
FDF26,6.825,2,0.078057026,12,154.5998,OUT010,1998,2.0,3,2,153.7998
FDU24,6.78,2,0.140955857,6,92.212,OUT017,2007,2.0,2,1,4101.328
FDX11,16.0,2,0.107186944,6,181.9634,OUT018,2009,1.0,3,3,3453.5046
FDF35,15.0,1,0.153960209,16,105.9938,OUT035,2004,2.0,2,1,1179.1318
NCC43,7.39,1,0.093160853,5,251.3066,OUT018,2009,1.0,3,3,1004.0264
FDG29,17.6,1,0.05629192,8,42.5454,OUT046,1997,2.0,1,1,419.454
FDS44,12.65,2,0.15604396,4,239.6538,OUT046,1997,2.0,1,1,3845.6608
FDZ10,17.85,1,0.044463491,7,127.102,OUT046,1997,2.0,1,1,2024.032
FDC52,11.15,2,0.00827301,1,150.4708,OUT013,1987,3.0,3,1,1956.1204
DRL35,15.7,1,0.030697825,11,42.877,OUT035,2004,2.0,2,1,1168.479
NCP55,14.65,1,0.0,14,56.4614,OUT010,1998,2.0,3,2,55.2614
FDV38,12.6,1,0.101281,1,55.0956,OUT027,1985,1.0,3,4,2020.0372
FDL44,18.25,1,0.012300013,4,160.4894,OUT045,2002,2.0,2,1,3073.9986
FDZ47,20.7,2,0.0,6,98.7042,OUT017,2007,2.0,2,1,1884.8798
FDT45,15.85,1,0.057313443,7,53.3956,OUT046,1997,2.0,1,1,1364.89
FDN23,6.575,2,0.075625152,13,145.7444,OUT049,1999,1.0,1,1,3193.1768
NCP43,17.75,1,0.030568919,14,177.866,OUT045,2002,2.0,2,1,2336.958
DRJ24,12.6,1,0.198424841,2,185.2924,OUT019,1985,2.0,1,2,370.1848
FDA02,12.6,2,0.029578726,1,143.5786,OUT027,1985,1.0,3,4,3756.4436
FDH33,12.6,1,0.213125482,7,44.9428,OUT019,1985,2.0,1,2,175.7712
FDF56,16.7,2,0.120137953,4,181.2976,OUT017,2007,2.0,2,1,3078.6592
NCN26,10.85,1,0.028679894,5,115.1808,OUT046,1997,2.0,1,1,2109.2544
FDD22,10.0,1,0.099804623,7,113.7544,OUT049,1999,1.0,1,1,3243.7776
FDU15,13.65,2,0.044526443,3,37.9532,OUT010,1998,2.0,3,2,71.9064
FDB41,19.0,2,0.162882227,8,46.8718,OUT010,1998,2.0,3,2,189.0872
FDZ35,9.6,2,0.022404493,13,102.499,OUT017,2007,2.0,2,1,2579.975
FDT60,12.0,1,0.075975642,6,124.1388,OUT017,2007,2.0,2,1,1486.0656
FDE51,5.925,2,0.09644909,1,43.8086,OUT035,2004,2.0,2,1,312.2602
NCQ06,13.0,1,0.041816615,5,254.5014,OUT035,2004,2.0,2,1,4845.0266
FDS28,8.18,2,0.082867689,8,58.5588,OUT017,2007,2.0,2,1,171.7764
FDH32,12.8,1,0.076214289,4,96.541,OUT045,2002,2.0,2,1,1834.279
FDW37,19.2,1,0.124301968,12,89.7488,OUT045,2002,2.0,2,1,2082.6224
FDY33,14.5,2,0.097201128,7,159.4262,OUT046,1997,2.0,1,1,2705.1454
FDF17,5.19,1,0.042861968,8,196.811,OUT017,2007,2.0,2,1,3731.809
FDG56,13.3,2,0.0713931,4,61.0536,OUT013,1987,3.0,3,1,1592.5936
NCB18,19.6,1,0.041256807,5,88.8514,OUT013,1987,3.0,3,1,2125.2336
FDU14,17.75,1,0.034746076,1,248.275,OUT035,2004,2.0,2,1,998.7
FDU22,12.35,1,0.093441604,7,119.1124,OUT049,1999,1.0,1,1,3673.8844
NCV41,14.35,1,0.017024598,10,109.8228,OUT013,1987,3.0,3,1,2099.9332
FDY52,6.365,1,0.007363189,8,63.2536,OUT045,2002,2.0,2,1,1225.072
DRG48,12.6,1,0.014484582,2,143.9102,OUT027,1985,1.0,3,4,3062.0142
FDU01,12.6,2,0.011937183,12,184.7924,OUT027,1985,1.0,3,4,4442.2176
NCP53,14.75,1,0.032862976,10,238.6906,OUT013,1987,3.0,3,1,4278.4308
FDC17,12.15,1,0.015484763,8,211.9928,OUT049,1999,1.0,1,1,631.1784
NCZ30,6.59,1,0.026163192,5,121.5098,OUT013,1987,3.0,3,1,602.549
FDK03,12.6,2,0.073920438,1,255.6356,OUT046,1997,2.0,1,1,2797.6916
FDE08,12.6,1,0.086352403,4,149.8734,OUT019,1985,2.0,1,2,445.4202
NCM07,12.6,1,0.03976832,14,83.9908,OUT027,1985,1.0,3,4,2348.9424
FDY35,12.6,2,0.015950066,13,47.7402,OUT027,1985,1.0,3,4,1975.4286
FDS28,12.6,2,0.082002559,8,59.2588,OUT027,1985,1.0,3,4,1374.2112
FDI56,7.325,1,0.093307668,4,92.7146,OUT013,1987,3.0,3,1,2006.7212
FDR23,12.6,1,0.143199389,13,175.837,OUT019,1985,2.0,1,2,352.874
FDF29,15.1,2,0.019965179,8,130.531,OUT049,1999,1.0,1,1,908.817
FDA47,12.6,2,0.116108797,6,164.121,OUT027,1985,1.0,3,4,6035.477
FDI10,8.51,2,0.078339081,7,172.9422,OUT013,1987,3.0,3,1,1379.5376
FDC45,12.6,1,0.237651344,4,170.2106,OUT019,1985,2.0,1,2,171.1106
FDA27,20.35,2,0.031102571,1,257.2672,OUT017,2007,2.0,2,1,2045.3376
NCR41,17.85,1,0.018097419,10,96.9094,OUT018,2009,1.0,3,3,1332.9316
FDR09,18.25,1,0.078041216,7,258.4962,OUT018,2009,1.0,3,3,2848.9582
NCB06,17.6,1,0.08226356,10,160.492,OUT013,1987,3.0,3,1,1278.336
FDE53,10.895,1,0.026880159,8,106.428,OUT046,1997,2.0,1,1,1491.392
DRE27,11.85,1,0.222063351,1,99.6726,OUT010,1998,2.0,3,2,195.7452
NCA06,12.6,1,0.142589751,5,35.919,OUT027,1985,1.0,3,4,585.904
FDL56,14.1,1,0.126292985,4,88.6198,OUT018,2009,1.0,3,3,1133.8574
FDT09,15.15,2,0.012260981,7,131.7284,OUT035,2004,2.0,2,1,1186.4556
DRH03,17.25,1,0.05869048,1,91.612,OUT010,1998,2.0,3,2,93.212
